Row Labels,Count of SciName
Iguana iguana,9300
Python molurus ssp. bivittatus,9079
Sturnus vulgaris,8175
Salvator merianae,7678
Passer domesticus,7157
Columba livia,5600
Agama picticauda,4863
Anolis sagrei,4094
Streptopelia decaocto,4008
Pterois volitans,3042
Cairina moschata,2965
Osteopilus septentrionalis,2416
Carpodacus mexicanus,2254
Varanus niloticus,2228
Platydemus manokwari,2131
Basiliscus vittatus,2126
Zenaida asiatica,1994
Anolis equestris,1921
Ctenosaura similis,1916
Hemidactylus mabouia,1695
Alopochen aegyptiaca,1521
Rhinella marina,1260
Myiopsitta monachus,1254
Pavo cristatus,1194
Pomacea spp.,979
Eleutherodactylus planirostris,922
Sus scrofa (feral type),751
Chamaeleo calyptratus,738
Leiocephalus carinatus armouri,661
Furcifer oustaleti,580
Porphyrio poliocephalus,576
Nandayus nenday,549
Pomacea maculata,543
Hemichromis letourneuxi,511
Python regius,507
Boa constrictor,451
Ameiva ameiva,442
Icterus pectoralis,427
Phasianus colchicus,388
Corbicula fluminea,364
Cichlasoma urophthalma,359
Melopsittacus undulatus,321
Gekko gecko,305
Acridotheres tristis,256
Macaca mulatta,228
Ramphotyphlops braminus,225
Channa marulius,207
Hemidactylus turcicus,202
Geochelone sulcata,198
Cricetomys gambianus,197
Gracula religiosa,196
Ctenosaura spp.,178
Oreochromis aureus,166
Clarias batrachus,161
Streptopelia roseogrisea,158
Brotogeris versicolurus,158
Penaeus monodon,156
Trachemys scripta elegans,155
Tilapia mariae,153
Hoplosternum littorale,152
Python spp.,150
Myocastor coypus,149
Aratinga acuticaudata,148
Varanus spp.,145
Threskiornis aethiopicus,141
Aratinga mitrata,139
Caiman crocodilus,138
Bipalium vagum,136
Cygnus olor,136
Perna viridis,133
Cichlasoma bimaculatum,130
Brotogeris chiriri,126
Amazona viridigenalis,118
Aratinga erythrogenys,116
Sarotherodon melanotheron,114
Phoenicopterus ruber,110
Psittacula krameri,106
Rattus rattus,101
Varanus exanthematicus,95
Bufo marinus,83
Pycnonotus jocosus,82
Anser anser,81
Anolis equestris equestris,80
Ara severus,77
Amazona oratrix,72
Amazona amazonica,72
Belonesox belizanus,71
Pterygoplichthys spp.,70
Leiocephalus carinatus,70
Python sebae,70
Astronotus ocellatus,67
Varanus salvator,66
Hydrochoerus hydrochaeris,66
Parachromis managuensis,65
Eudocimus ruber,65
Tupinambis spp.,63
Cichla ocellaris,63
Monopterus albus,62
Ara ararauna,59
Bipalium kewense,57
Macrognathus siamensis,52
Anser cygnoides,52
Craspedacusta sowerbyi,52
Oreochromis niloticus,51
Anolis distichus,49
Aratinga leucophthalmus,48
Ctenopharyngodon idella,44
Cnemidophorus lemniscatus,44
Lonchura punctulata,43
Aratinga holochlora,43
Pterygoplichthys disjunctivus,42
Geochelone carbonaria,42
Gallus gallus (feral type),42
Hemidactylus garnotii,38
Ameiva praesignis,38
Cygnus atratus,37
Anolis equestris persparsus,35
Ctenosaura pectinata,34
Pterygoplichthys multiradiatus,32
Phrynosoma cornutum,32
Rocio octofasciata,32
Amazona albifrons,32
Cynomys ludovicianus,32
Aratinga weddellii,31
Amazona aestiva,31
Amazona spp.,30
Zachrysia provisoria,29
Pomacea canaliculata,29
Pogona vitticeps,29
Eupsittula canicularis,29
Tupinambis teguixin,28
Aratinga spp.,26
Iguana spp.,25
Phelsuma madagascariensis grandis,25
Pomacea diffusa,24
Amazona finschi,24
Tubastraea coccinea,23
Nymphicus hollandicus,22
Vidua macroura,22
Basiliscus spp.,22
Caracolus marginella,21
Furcifer pardalis,21
Salvator rufescens,20
Xenopus laevis,20
Hemidactylus frenatus,20
Anas platyrhynchos,20
Numida meleagris,18
Trachemys scripta scripta,18
Agapornis roseicollis,18
Aix galericulata,18
Marisa cornuarietis,17
Dasyprocta leporina,17
Dendrocygna viduata,17
Chitala ornata,17
Chlorocebus aethiops,16
Anolis porcatus,16
Amazona ochrocephala,16
Acridotheres cristatellus,16
Python reticulatus,15
Aspidoscelis motaguae,15
Amphilophus citrinellus,15
Cervus nippon,15
Colossoma spp.,15
Pantherophis guttatus,14
Amazona autumnalis,14
Graptemys pseudogeographica,14
Epicrates cenchria maurus,14
Anolis cristatellus cristatellus,14
Piaractus brachypomus,13
Oreochromis mossambicus,13
Tiliqua scincoides,13
Callinectes bocourti,13
Callichthys callichthys,13
Pavo muticus,12
Eunectes murinus,12
Buteogallus urubitinga,12
Canis latrans,12
Leiolepis rubritaeniata,11
Pyrrhura frontalis,11
Morelia spilota,11
Oreochromis spp.,11
Molossus molossus tropidorhynchus,11
Psittacus erithacus,11
Cyprinus carpio,11
Colossoma macropomum,11
Hemidactylus spp.,11
Alectoris chukar,11
Heros severus,11
Boa dumerili,11
Misgurnus anguillicaudatus,10
Leiocephalus spp.,10
Varanus albigularis ionidesi,10
Melanoides tuberculata,10
Pyrrhura molinae,10
Sphaerodactylus argus argus,10
Varanus albigularis,10
Melopyrrha nigra,10
Anas bahamensis,10
Eleutherodactylus coqui,10
Euplectes franciscanus,10
Hypostomus spp.,9
Pylodictis olivaris,9
Hypostomus plecostomus,9
Aratinga wagleri,9
Eublepharis macularius,9
Columbina inca,9
Aratinga finschi,9
Herichthys cyanoguttatus,9
Amazona farinosa,9
Cichlasoma salvini,9
Acrochordus javanicus,9
Felis catus (feral type),9
Hoplias malabaricus,9
Ictalurus furcatus,8
Hypsoblennius invemar,8
Metynnis spp.,8
Dolichotis patagonum,8
Basiliscus plumifrons,8
Balearica regulorum,8
Agkistrodon piscivorus,8
Diopsittaca nobilis,8
Zanclus cornutus,7
Serinus mozambicus,7
Nerodia taxispilota,7
Tarentola annularis,7
Phelsuma grandis,7
Rattus norvegicus,7
Saimiri sciureus,7
Lepus californicus,7
Bulimulus sporadicus,7
Dasypus novemcinctus,7
Herpestes javanicus,7
Carassius auratus,7
Gekko badenii,7
Bubulcus ibis,7
Gekko grossmanni,7
Anolis spp.,7
Cyclura cornuta,7
Python curtus,6
Lithobates catesbeianus,6
Varanus indicus,6
Phractocephalus hemioliopterus,6
Nasua spp.,6
Physignathus cocincinus,6
Tadorna ferruginea,6
Trioceros spp.,6
Tadorna tadorna,6
Pomacea haustrum,6
Testudo horsfieldii,6
Leiolepis belliana belliana,6
Padda oryzivora,6
Lepidodactylus lugubris,6
Amazona auropalliata,6
Dromaius novaehollandiae,6
Charybdis hellerii,6
Anas platyrhynchos var. domesticus,6
Eunectes notaeus,6
Tarentola mauritanica,5
Xiphophorus hellerii,5
Litoria caerulea,5
Laudakia stellio,5
Macrobrachium heterochirus,5
Leiocephalus personatus scalaris,5
Mus musculus,5
Megabalanus coccopoma,5
Chrysolophus pictus,5
Bipalium spp.,5
Gekko vittatus,5
Brotogeris jugularis,5
Chrysemys dorsalis,5
Bombina orientalis,5
Lampropeltis getula californiae,4
Pterygoplichthys pardalis,4
Trachylepis quinquetaeniata,4
Pantherophis alleghaniensis,4
Leiocephalus schreibersii schreibersii,4
Pygocentrus nattereri,4
Tilapia buttikoferi,4
Zebrasoma veliferum,4
Trichoglossus chlorolepidotus,4
Lamprotornis superbus,4
Sternotherus carinatus,4
Mustela putorius furo,4
Hypselotriton orientalis,4
Kaloula pulchra,4
Amia calva,4
Geopelia cuneata,4
Anolis carolinensis,4
Amazona ventralis,4
Callonetta leucophrys,4
Apalone spinifera,4
Amatitlania nigrofasciata,4
Channa argus,4
Euplectes afer,4
Anolis trinitatis,4
Achatina fulica,4
Chromileptes altivelis,4
Chalcides ocellatus,4
Antaresia maculosa,4
Corvus splendens,4
Agelastes niger,4
Crocodylus niloticus,4
Varanus albigularis microstictus,3
Osteoglossum bicirrhosum,3
Xiphophorus maculatus,3
Potos flavus,3
Manouria emys,3
Pseudacris sierra,3
Neochen jubata,3
Psittacula eupatria,3
Nasua narica,3
Lemur catta,3
Tropidurus hispidus,3
Puma yaguarondi,3
Pantherophis spiloides,3
Petenia splendida,3
Neopomacentrus cyanomos,3
Sphaerodactylus elegans elegans,3
Ara macao,3
Diphyllobothrium latum,3
Aratinga aurea,3
Anolis cristatellus,3
Estrilda melpoda,3
Cacatua galerita,3
Geochelone pardalis,3
Cordylus mossambicus,3
Heniochus diphreutes,3
Crotalus adamanteus,3
Hypophthalmichthys nobilis,3
Callipepla californica,3
Ara chloropterus,3
Calocitta colliei,3
Channa spp.,3
Cygnus buccinator,3
Arapaima gigas,3
Daphnia lumholtzi,3
Aratinga chloroptera,3
Dascyllus aruanus,3
Belocaulus angustipes,3
Cavia porcellus,3
Trichopsis vittata,2
Paroaria coronata,2
Varanus albigularis albigularis,2
Poecilia reticulata,2
Thorichthys meeki,2
Pterygoplichthys anisitsi,2
Praticolella griseola,2
Nothura maculosa,2
Varanus salvadorii,2
Polyodon spathula,2
Tauraco corythaix,2
Ligia exotica,2
Tilapia sparrmanii,2
Pomacanthus maculosus,2
Pionus maxmiliani,2
Mustela putorius,2
Uraeginthus angolensis,2
Lonchura malacca,2
Varanus doreanus,2
Hystrix cristata,2
Vieja melanura,2
Rhinecanthus aculeatus,2
Tarebia granifera,2
Paroaria gularis,2
Testudo hermanni,2
Zebrasoma flavescens,2
Phoenicopterus minor,2
Pomacanthus semicirculatus,2
Nasua nasua,2
Oryctolagus cuniculus (feral type),2
Trioceros melleri,2
Nerodia fasciata fasciata,2
Mytella charruana,2
Pomacea paludosa,2
Pantherophis obsoletus,2
Staurotypus salvinii,2
Procambarus clarkii,2
Netta rufina,2
Pituophis ruthveni,2
Streptopelia turtur,2
Varanus jobiensis,2
Phelsuma standingi,2
Paraneetroplus synspilus,2
Porphyrio porphyrio poliocephalus,2
Vulpes vulpes,2
Taeniopygia guttata,2
Platax orbicularis,2
Takydromus tachydromoides ocellatus,2
Sphaeroma walkeri,2
Xiphophorus variatus,2
Chrysemys picta picta,2
Gongylophis colubrinus,2
Boa constrictor occidentalis,2
Cosymbotus platyurus,2
Chilabothrus strigilatus,2
Dracaena guianensis,2
Axis axis,2
Bulimulus guadalupensis,2
Coluber constrictor,2
Hyla gratiosa,2
Agapornis fischeri,2
Hyotissa hyotis,2
Heniochus spp.,2
Elaphe obsoleta,2
Acridotheres fuscus,2
Aratinga solstitialis,2
Anaxyrus terrestris,2
Cephalopholis argus,2
Amazona pretrei,2
Eos bornea,2
Glyptemys insculpta,2
Cervus elaphus elaphus,2
Gyps spp.,2
Anolis coelestinus,2
Coluber flagellum,2
Ampiuma tridactylum,2
Corallus hortulanus,2
Euplectes spp.,2
Ciconia episcopus,2
Aphyocharax anisitsi,2
Hylarana erythraea,2
Eira barbara,2
Elaphe guttata,2
Chrysemys picta bellii,2
Pelusios castaneus,1
Petrolisthes armatus,1
Lamprotornis caudatus,1
Nerodia fasciata pictiventris,1
Trachemys callirostris,1
Rapana venosa,1
Urocyon cinereoargenteus,1
Monodactylus sebae,1
Mecistops cataphractus,1
Phelsuma dubia,1
Macrochlamys indica,1
Rhadinaea flavilata,1
Pisidium punctiferum,1
Netta peposaca,1
Ptychozoon kuhli,1
Naso lituratus,1
Puntius tetrazona,1
Phelsuma laticauda,1
Varanus ornatus,1
Rhinoclemmys pulcherrima,1
Viviparus georgianus,1
Rhinoclemmys punctularia,1
Tiaris canorus,1
Lorius garrulus,1
Tilapia zillii,1
Rucervus duvaucelii,1
Paleosuchus trigonatus,1
Lampropeltis triangulum hondurensis,1
Lepomis cyanellus,1
Lygodactylus luteopicturatus,1
Langaha madagascariensis,1
Xiphophorus spp.,1
Uraeginthus cyanocephalus,1
Platemys platycephala,1
Ursus americanus,1
Platychirograpsus spectabilis,1
Pitangus sulphuratus,1
Porphyrio martinica,1
Piaractus spp.,1
Orthriophis taeniurus,1
Varanus rudicollis,1
Serrasalmus rhombeus,1
Obama spp.,1
Siganus unimaculatus,1
Vulpes vulpes fulvus,1
Leiopython fredparkeri,1
Littorina littorea,1
Porphyrio porphyrio,1
Zonosaurus laticaudatus,1
Pelusios sinuatus,1
Norops garmani I,1
Ploceus cucullatus,1
Lampropeltis alterna,1
Poecilia kykesis,1
Paleosuchus palpebrosus,1
Macaca fuscata,1
Trachylepis perrotetii,1
Osphranter spp.,1
Kinixys homeana,1
Probosciger aterrimus,1
Pterygoplichthys gibbiceps,1
Poecilia latipunctata,1
Leptailurus serval,1
Sus scrofa (domestic type),1
Polypterus delhezi,1
Macrobrachium macrobrachion,1
Ptychozoon lionotum,1
Syrmaticus ellioti,1
Uranoscodon superciliosus,1
Protemblemaria punctata,1
Uromastyx dispar maliensis,1
Lampropeltis triangulum sinaloae,1
Pomacanthus imperator,1
Tadorna variegata,1
Parachanna spp.,1
Piaractus mesopotamicus,1
Lampropeltis gentilis,1
Pseudemys peninsularis,1
Paracyclops bromeliacola,1
Tamandua mexicana,1
Mauremys sinensis,1
Pseudotropheus socolofi,1
Varanus panoptes,1
Oxydoras spp.,1
Pionites spp.,1
Pheucticus chrysopeplus,1
Phyllorhiza punctata,1
Nerodia fasciata confluens,1
Onychognathus morio,1
Polydora cornuta,1
Ophisaurus ventralis,1
Pachytriton labiatus,1
Lithobates grylio,1
Theraps spp.,1
Phacochoerus africanus,1
Netta spp.,1
Macrobrachium olfersii,1
Labeotropheus fuelleborni,1
Lamprotornis chalybaeus,1
Lygodactylus williamsi,1
Zebrasoma scopas,1
Scatophagus argus,1
Scincopus fasciatus,1
Lophura nycthemera,1
Rhineura floridana,1
Pterophyllum scalare,1
Gongylophis muelleri,1
Gallus gallus (domestic type),1
Calotes versicolor,1
Dendrelaphis pictus,1
Callipepla gambelii,1
Columba livia domestica,1
Anas hottentota,1
Devario malabaricus,1
Canis lupus familiaris,1
Carduelis carduelis,1
Ara militaris,1
Calabaria reinhardtii,1
Cyanoliseus patagonus,1
Borikenophis portoricensis,1
