,�..ID,store,state,city_locality,lat,long,item,species,subspecies,specific_taxonomy,sex,price_.,in_list,notes,visit_type,vendor_type,native.
7143,7496,Imperial Reptiles,,,NA,NA,Calico Mexican Alligator Lizard,Abronia graminea,,1,,429.99,,,online,online,0
7144,7497,Imperial Reptiles,,,NA,NA,Mexican Alligator Lizard,Abronia graminea,,1,,399.95,,,online,online,0
9034,9489,ReptilesNCritters,,,NA,NA,Central American alligator lizards,Abronia moreletii,,1,,$129.99 ,,,online,online,0
10080,10562,Strictly Reptiles,,,NA,NA,C.A. ALLIGATOR LIZARD – JUVENILES TO ADULTS,Abronia moreletii,,1,,,,,online,online,0
10638,11188,Underground Reptiles,,,NA,NA,Leopard Fringe Fingered Lizard,Acanthodactylus pardalis,,1,,19.99,,,online,online,0
10639,11189,Underground Reptiles,,,NA,NA,Nidua Fringe Fingered Lizard,Acanthodactylus scutellatus,,1,,14.99,,,online,online,0
10640,11190,Underground Reptiles,,,NA,NA,Mountain Horned Lizard,Acanthosaura capra,,1,,19.99,,,online,online,0
614,674,Gator City Reptiles Newberry Square,FL,Gainesville,29.66384499,-82.42445206,natal's dragon,Acanthosaura nataliae,,1,,99.99,yes,,brick & mortar,brick & mortar,0
5747,6008,Big Apple Herp,,,NA,NA,Natal's Mountain Horned Lizards,Acanthosaura nataliae,,1,,84.95,,,online,online,0
6932,7261,ExoticWildCats,,,NA,NA,Cheetah For Sale,Acinonyx jubatus,,1,,"$1,500.00 ",,,online,online,0
6933,7262,ExoticWildCats,,,NA,NA,Baby Cheetah For Sale,Acinonyx jubatus,,1,,"$1,000.00 ",,,online,online,0
8085,8508,Planet Exotics Pets,,,NA,NA,CHEETAH CUB,Acinonyx jubatus,,1,,2500,,,online,online,0
1663,1805,East Bay Vivarium,CA,Berkeley,37.869703,-122.2993,Dumeril's boa,Acrantophis dumerili,,1,,399,,,brick & mortar,brick & mortar,0
1674,1816,East Bay Vivarium,CA,Berkeley,37.869703,-122.2993,Dumeril's boa,Acrantophis dumerili,,1,,399,,,brick & mortar,brick & mortar,0
1864,2017,The Serpentarium,CA,Elk Grove,38.424937,-121.392562,Dumeril's boa,Acrantophis dumerili,,1,,299.99,,,brick & mortar,brick & mortar,0
2145,2307,Sabrina's Reptile Kingdon,RI,Cumberland,41.910938,-71.395188,Dumerill boa,Acrantophis dumerili,,1,m,600,,,expo,brick & mortar,0
2146,2308,Sabrina's Reptile Kingdon,RI,Cumberland,41.910938,-71.395188,Dumerill boa,Acrantophis dumerili,,1,m,600,,,expo,brick & mortar,0
2147,2309,Sabrina's Reptile Kingdon,RI,Cumberland,41.910938,-71.395188,Dumerill boa,Acrantophis dumerili,,1,m,600,,,expo,brick & mortar,0
2148,2310,Sabrina's Reptile Kingdon,RI,Cumberland,41.910938,-71.395188,Dumerill boa,Acrantophis dumerili,,1,m,600,,,expo,brick & mortar,0
3348,3557,Nature Box Pet Emporium,CO,Aurora,39.63743939,-104.8274806,dumeril's boa,Acrantophis dumerili,,1,,599.99,,,expo,,0
5038,5288,Reef and Reptile,CA,Chula Vista,32.59553,-117.05034,Dumeril's boa,Acrantophis dumerili,,1,f,600,,,expo,Brick and Mortar,0
5039,5289,Reef and Reptile,CA,Chula Vista,32.59553,-117.05034,Dumeril's boa,Acrantophis dumerili,,1,f,600,,,expo,Brick and Mortar,0
5040,5290,Reef and Reptile,CA,Chula Vista,32.59553,-117.05034,Dumeril's boa,Acrantophis dumerili,,1,f,500,,,expo,Brick and Mortar,0
5041,5291,Reef and Reptile,CA,Chula Vista,32.59553,-117.05034,Dumeril's boa,Acrantophis dumerili,,1,f,600,,,expo,Brick and Mortar,0
5042,5292,Reef and Reptile,CA,Chula Vista,32.59553,-117.05034,Dumeril's boa,Acrantophis dumerili,,1,,600,,,expo,Brick and Mortar,0
5043,5293,Reef and Reptile,CA,Chula Vista,32.59553,-117.05034,Dumeril's boa,Acrantophis dumerili,,1,,500,,,expo,Brick and Mortar,0
5044,5294,Reef and Reptile,CA,Chula Vista,32.59553,-117.05034,Dumeril's boa,Acrantophis dumerili,,1,,500,,,expo,Brick and Mortar,0
